País,Precio,Tipo
Spain,110.0,Tinta de Toro
Spain,73.0,Tinta de Toro
Spain,65.0,Tinta de Toro
Spain,110.0,Tinta de Toro
Spain,80.0,Tempranillo
Spain,79.0,Tempranillo Blend
Spain,220.0,Tinta de Toro
Spain,17.0,Mencía
Spain,26.0,Palomino
Spain,,Monastrell
Spain,22.0,Tempranillo
Spain,17.0,Tempranillo
Spain,17.0,Albariño
Spain,17.0,Sparkling Blend
Spain,44.0,Tempranillo
Spain,44.0,Tempranillo Blend
Spain,30.0,Tinta de Toro
Spain,25.0,Godello
Spain,22.0,Red Blend
Spain,18.0,Sparkling Blend
Spain,30.0,Tempranillo
Spain,17.0,Tempranillo Blend
Spain,68.0,Tempranillo Blend
Spain,,Red Blend
Spain,22.0,Albariño
Spain,32.0,Tempranillo
Spain,35.0,Tempranillo
Spain,28.0,Tempranillo
Spain,26.0,Albariño
Spain,49.0,White Blend
Spain,18.0,Sparkling Blend
Spain,27.0,Tempranillo
Spain,25.0,Sherry
Spain,15.0,Tempranillo
Spain,16.0,Sherry
Spain,15.0,Tempranillo Blend
Spain,28.0,Red Blend
Spain,23.0,Red Blend
Spain,25.0,Albariño
Spain,12.0,Tempranillo
Spain,18.0,Sparkling Blend
Spain,20.0,Tempranillo
Spain,17.0,Tempranillo Blend
Spain,64.0,Tempranillo
Spain,91.0,Red Blend
Spain,20.0,Albariño
Spain,11.0,Tempranillo
Spain,35.0,Sparkling Blend
Spain,26.0,Palomino
Spain,50.0,Red Blend
Spain,26.0,Red Blend
Spain,21.0,Tempranillo Blend
Spain,35.0,Sparkling Blend
Spain,25.0,Sparkling Blend
Spain,36.0,Godello
Spain,26.0,Palomino
Spain,30.0,Tempranillo
Spain,30.0,Sherry
Spain,61.0,Tempranillo
Spain,50.0,Garnacha
Spain,35.0,Tempranillo Blend
Spain,24.0,Tempranillo
Spain,25.0,Mencía
Spain,15.0,Monastrell
Spain,15.0,Tempranillo
Spain,20.0,Tempranillo Blend
Spain,30.0,Tempranillo
Spain,37.0,Tempranillo
Spain,44.0,Tempranillo Blend
Spain,136.0,Red Blend
Spain,30.0,Moscatel
Spain,15.0,Monastrell
Spain,10.0,Garnacha Blanca
Spain,34.0,Garnacha
Spain,25.0,Red Blend
Spain,22.0,Red Blend
Spain,14.0,Tempranillo
Spain,8.0,Grenache-Syrah
Spain,16.0,Mencía
Spain,30.0,Moscatel
Spain,26.0,Tempranillo Blend
Spain,32.0,Tempranillo Blend
Spain,50.0,Garnacha
Spain,90.0,Red Blend
Spain,33.0,Red Blend
Spain,32.0,Red Blend
Spain,55.0,Mencía
Spain,9.0,Red Blend
Spain,14.0,Macabeo
Spain,15.0,Verdejo
Spain,15.0,Tempranillo
Spain,15.0,Tempranillo
Spain,16.0,Tempranillo Blend
Spain,30.0,Red Blend
Spain,25.0,Tempranillo Blend
Spain,15.0,Tempranillo Blend
Spain,32.0,White Blend
Spain,77.0,Tempranillo
Spain,30.0,Sherry
Spain,10.0,Tempranillo Blend
Spain,18.0,Godello
Spain,20.0,Godello
Spain,30.0,Tempranillo Blend
Spain,20.0,Tempranillo Blend
Spain,16.0,Sparkling Blend
Spain,20.0,Red Blend
Spain,18.0,Sparkling Blend
