País,Precio,Tipo
US,235.0,Cabernet Sauvignon
US,90.0,Sauvignon Blanc
US,65.0,Pinot Noir
US,65.0,Pinot Noir
US,60.0,Pinot Noir
US,48.0,Pinot Noir
US,48.0,Pinot Noir
US,185.0,Pinot Noir
US,90.0,Chardonnay
US,325.0,Cabernet Sauvignon
US,75.0,Pinot Noir
US,24.0,Rosé
US,60.0,Chardonnay
US,45.0,Pinot Noir
US,62.0,Pinot Noir
US,105.0,Pinot Noir
US,60.0,Pinot Noir
US,60.0,Syrah
US,37.0,Chardonnay
US,42.0,Chardonnay
US,55.0,Petite Sirah
US,60.0,Cabernet Sauvignon
US,40.0,Cabernet Sauvignon
US,18.0,Chardonnay
US,69.0,Cabernet Sauvignon
US,25.0,Riesling
US,30.0,Cabernet Sauvignon-Syrah
US,36.0,Syrah
US,85.0,Cabernet Sauvignon
US,50.0,Pinot Noir
US,60.0,Cabernet Sauvignon
US,85.0,Cabernet Sauvignon
US,45.0,Pinot Noir
US,19.0,Pinot Gris
US,54.0,Pinot Noir
US,38.0,Sauvignon Blanc
US,28.0,Cabernet Sauvignon
US,42.0,Pinot Noir
US,22.0,Cabernet Sauvignon
US,65.0,Pinot Noir
US,50.0,Meritage
US,10.0,Cabernet Sauvignon
US,13.0,Chardonnay
US,18.0,Chardonnay
US,36.0,Cabernet Sauvignon
US,24.0,Viognier
US,50.0,Cabernet Sauvignon
US,48.0,Cabernet Sauvignon-Cabernet Franc
US,20.0,Moscato
US,17.0,Pinot Grigio
US,12.0,Cabernet Franc
US,10.0,Chardonnay
US,13.0,White Blend
US,45.0,Chardonnay
US,125.0,Cabernet Sauvignon
US,25.0,Riesling
US,59.0,Pinot Noir
US,49.0,Pinot Noir
US,42.0,Sparkling Blend
US,93.0,Chardonnay
US,32.0,Pinot Noir
US,20.0,Pinot Noir
US,100.0,Zinfandel
US,50.0,Cabernet Sauvignon
US,45.0,Chardonnay
US,26.0,Barbera
US,16.0,Chardonnay
US,30.0,Cabernet Sauvignon
US,42.0,Grenache
US,38.0,Zinfandel
US,48.0,Rhône-style Red Blend
US,28.0,Sauvignon Blanc
US,25.0,Grenache
US,26.0,Chardonnay
US,24.0,Albariño
US,55.0,Pinot Noir
US,36.0,Zinfandel
US,40.0,Syrah
US,28.0,Malvasia Bianca
US,50.0,Pinot Noir
US,24.0,Sangiovese
US,42.0,Bordeaux-style Red Blend
US,35.0,Pinot Noir
US,16.0,Syrah
US,23.0,Viognier
US,36.0,Pinot Noir
US,25.0,Chardonnay
US,42.0,Pinot Noir
US,49.0,Pinot Noir
US,29.0,Cabernet Sauvignon
US,25.0,Chardonnay
US,25.0,Syrah
US,49.0,Pinot Noir
US,20.0,Picpoul
US,34.0,Bordeaux-style Red Blend
US,38.0,Zinfandel
US,38.0,Zinfandel
US,10.0,Chardonnay
US,18.0,Malbec
US,18.0,Chardonnay
US,14.0,Riesling
US,14.0,Riesling
US,40.0,Cabernet Franc
US,10.0,Gewürztraminer
US,11.0,Merlot
US,36.0,Cabernet Sauvignon
US,20.0,Cabernet Franc
US,32.0,Grenache
US,50.0,Zinfandel
US,58.0,G-S-M
US,38.0,Mourvèdre
US,50.0,Zinfandel
US,50.0,Syrah
US,80.0,Cabernet Sauvignon
US,40.0,Syrah
US,48.0,Cabernet Sauvignon
US,200.0,Cabernet Sauvignon
US,39.0,Petit Verdot
US,62.0,Cabernet Sauvignon
US,28.0,Chardonnay
US,36.0,Pinot Noir
US,24.0,Chardonnay
US,30.0,Rhône-style White Blend
US,25.0,Merlot
US,60.0,Pinot Noir
US,54.0,Pinot Noir
US,15.0,Muscat
US,20.0,Sauvignon Blanc
US,61.0,Pinot Noir
US,40.0,Cabernet Sauvignon-Merlot
US,39.0,Red Blend
US,16.0,Pinot Grigio
US,32.0,Mourvèdre
US,18.0,Chardonnay
US,58.0,Chardonnay
US,50.0,Rhône-style Red Blend
US,48.0,Sparkling Blend
US,32.0,Pinot Noir
US,43.0,Pinot Noir
US,100.0,Cabernet Sauvignon
US,35.0,Syrah
US,60.0,Pinot Noir
US,16.0,Pinot Gris
US,42.0,Syrah
US,20.0,Pinot Noir
US,38.0,Pinot Noir
US,32.0,Zinfandel
US,60.0,Syrah
US,30.0,Riesling
US,30.0,Riesling
US,65.0,Pinot Noir
US,90.0,Pinot Noir
US,85.0,Pinot Noir
US,70.0,Pinot Noir
US,70.0,Pinot Noir
US,60.0,Pinot Noir
US,155.0,Cabernet Sauvignon
US,48.0,Pinot Noir
US,95.0,Cabernet Sauvignon
US,80.0,Sparkling Blend
US,49.0,Pinot Noir
US,50.0,Syrah
US,95.0,Cabernet Sauvignon
US,63.0,Chardonnay
US,50.0,Cabernet Sauvignon
US,45.0,Sauvignon Blanc
US,38.0,Rhône-style White Blend
US,30.0,Pinot Noir
US,22.0,Syrah
US,60.0,Cabernet Sauvignon
US,55.0,Pinot Noir
US,48.0,Chardonnay
US,40.0,Chardonnay
US,50.0,Chardonnay
US,48.0,Pinot Noir
US,50.0,Sparkling Blend
US,40.0,Chardonnay
US,42.0,Pinot Noir
US,41.0,Red Blend
US,27.0,Ugni Blanc
US,29.0,Grüner Veltliner
US,19.0,Pinot Noir
US,15.0,Pinot Gris
US,45.0,Pinot Noir
US,18.0,Albariño
US,15.0,Cabernet Sauvignon
US,15.0,Cabernet Sauvignon
US,24.0,Merlot
US,80.0,Red Blend
US,50.0,Cabernet Sauvignon
US,28.0,Cabernet Sauvignon
US,36.0,Rhône-style Red Blend
US,40.0,Cabernet Sauvignon
US,50.0,Chardonnay
US,75.0,Cabernet Sauvignon
US,46.0,Malbec
US,20.0,White Blend
US,75.0,Cabernet Sauvignon
US,28.0,Sauvignon Blanc
US,60.0,Chardonnay
US,22.0,Chardonnay
US,30.0,Chardonnay
US,35.0,Cabernet Sauvignon
US,38.0,Rhône-style Red Blend
US,22.0,Tempranillo
US,36.0,Cabernet Sauvignon
US,30.0,Zinfandel
US,20.0,Cabernet Franc
US,32.0,Grenache
US,20.0,Sauvignon Blanc
US,30.0,Chardonnay
US,20.0,Cabernet Sauvignon
US,23.0,Cabernet Sauvignon
US,22.0,Rhône-style White Blend
US,20.0,Cabernet Sauvignon
US,22.0,Chardonnay
US,16.0,White Blend
US,17.0,Riesling
US,38.0,Tempranillo
US,26.0,Chardonnay
US,32.0,Syrah
US,18.0,Moscato
US,35.0,Rosé
US,34.0,Aglianico
US,31.0,Cabernet Sauvignon
US,24.0,Viognier
US,12.0,Merlot
US,18.0,Pinot Noir
US,24.0,Chardonnay
US,14.0,Sauvignon Blanc
US,38.0,Primitivo
US,12.0,Pinot Noir
US,32.0,Red Blend
US,28.0,Barbera
US,49.0,Pinot Noir
US,35.0,Chardonnay
US,30.0,Bordeaux-style Red Blend
US,46.0,Pinot Noir
US,50.0,Pinot Noir
US,43.0,Red Blend
US,39.0,Syrah
US,65.0,Zinfandel
US,35.0,Syrah
US,60.0,Zinfandel
US,44.0,Pinot Noir
US,30.0,Chardonnay
US,45.0,Zinfandel
US,125.0,Bordeaux-style Red Blend
US,98.0,Cabernet Sauvignon
US,40.0,Red Blend
US,60.0,Chardonnay
US,68.0,Chardonnay
US,32.0,Chardonnay
US,45.0,Syrah
US,66.0,Chardonnay
US,32.0,Chardonnay
US,55.0,Chardonnay
US,20.0,Viognier
US,32.0,Chardonnay
US,35.0,Viognier
US,44.0,Chardonnay
US,24.0,Cabernet Franc
US,20.0,Zinfandel
US,23.0,Pinot Noir
US,49.0,Pinot Noir
US,35.0,Carignane
US,18.0,Pinot Gris
US,42.0,Zinfandel
US,48.0,Pinot Noir
US,30.0,Chardonnay
US,40.0,Cabernet Sauvignon
US,22.0,Merlot
US,15.0,Cabernet Sauvignon
US,15.0,Cabernet Sauvignon
US,62.0,Pinot Noir
US,49.0,Pinot Noir
US,95.0,Cabernet Sauvignon
US,55.0,Chardonnay
US,48.0,Chardonnay
US,68.0,Pinot Noir
US,90.0,Pinot Noir
US,60.0,Pinot Noir
US,125.0,Bordeaux-style Red Blend
US,85.0,Cabernet Sauvignon
US,60.0,Pinot Noir
US,55.0,Syrah
US,58.0,Chardonnay
US,48.0,Pinot Noir
US,40.0,Zinfandel
US,60.0,Chardonnay
US,120.0,Cabernet Sauvignon
US,100.0,Cabernet Sauvignon
US,34.0,Zinfandel
US,40.0,Zinfandel
US,20.0,Chardonnay
US,55.0,Cabernet Sauvignon
US,45.0,Pinot Noir
US,26.0,Pinot Gris
US,28.0,Chardonnay
US,38.0,Chardonnay
US,44.0,Red Blend
US,45.0,Pinot Noir
US,50.0,Sauvignon Blanc
US,38.0,Cabernet Sauvignon
US,64.0,Bordeaux-style Red Blend
US,18.0,Gewürztraminer
US,40.0,Pinot Noir
US,18.0,Gewürztraminer
US,30.0,Rhône-style White Blend
US,111.0,Cabernet Sauvignon
US,32.0,Tempranillo
US,57.0,Pinot Noir
US,34.0,Grenache
US,24.0,Chardonnay
US,45.0,Meritage
US,30.0,Grenache
US,39.0,Chardonnay
US,55.0,Pinot Noir
US,22.0,Gewürztraminer
US,25.0,Pinot Noir
US,48.0,Pinot Noir
US,19.0,Viognier
US,18.0,Chardonnay
US,18.0,Merlot
US,65.0,Pinot Noir
US,25.0,Chardonnay
US,48.0,Pinot Noir
US,55.0,Cabernet Sauvignon
US,46.0,Chardonnay
US,55.0,Pinot Noir
US,30.0,Pinot Noir
US,25.0,Cabernet Franc
US,27.0,Pinot Noir
US,28.0,Syrah
US,48.0,Chardonnay
US,36.0,Sauvignon Blanc
US,48.0,Red Blend
US,60.0,Chardonnay
US,42.0,Cabernet Franc
US,45.0,Sangiovese
US,39.0,Zinfandel
US,25.0,Sauvignon Blanc
US,40.0,Bordeaux-style Red Blend
US,40.0,Charbono
US,85.0,Cabernet Sauvignon
US,15.0,Tempranillo
US,18.0,Red Blend
US,15.0,Red Blend
US,15.0,Cabernet Sauvignon
US,12.0,Cabernet Sauvignon
US,18.0,Merlot
US,65.0,Cabernet Sauvignon
US,20.0,Chardonnay
US,25.0,Riesling
US,36.0,Chardonnay
US,36.0,Tempranillo
US,30.0,Petit Verdot
US,36.0,G-S-M
US,45.0,Pinot Noir
US,20.0,Pinot Gris
US,28.0,Pinot Noir
US,42.0,Syrah
US,14.0,Riesling
US,18.0,Rosé
US,39.0,Red Blend
US,28.0,Cabernet Sauvignon
US,36.0,Bordeaux-style Red Blend
US,28.0,Bordeaux-style Red Blend
US,18.0,Primitivo
US,32.0,Red Blend
US,28.0,Merlot
US,26.0,Syrah
US,32.0,Sauvignon Blanc
US,11.0,Cabernet Sauvignon
US,26.0,Rhône-style White Blend
US,19.0,Syrah
US,22.0,Red Blend
US,28.0,Bordeaux-style Red Blend
US,28.0,Pinot Blanc
US,20.0,Zinfandel
US,25.0,Red Blend
US,16.0,Chardonnay
US,18.0,Gewürztraminer
US,25.0,Cabernet Sauvignon
US,48.0,Pinot Noir
US,30.0,Chardonnay
US,18.0,Pinot Gris
US,70.0,Cabernet Sauvignon
US,25.0,Riesling
US,42.0,Merlot
US,50.0,Cabernet Sauvignon
US,28.0,Negroamaro
US,22.0,Mourvèdre
US,26.0,Barbera
US,80.0,Red Blend
US,28.0,Tempranillo
US,50.0,Rhône-style Red Blend
US,40.0,Zinfandel
US,22.0,Syrah
US,50.0,Cabernet Franc
US,55.0,Cabernet Sauvignon
US,37.0,Champagne Blend
US,42.0,Merlot
US,60.0,Cabernet Sauvignon
US,27.0,Pinot Noir
US,48.0,Pinot Noir
US,45.0,Pinot Noir
US,15.0,Tempranillo
US,40.0,Cabernet Sauvignon
US,35.0,Viognier
US,44.0,Chardonnay
US,32.0,Chardonnay
US,50.0,Zinfandel
US,27.0,Chardonnay
US,15.0,Riesling
US,35.0,Syrah
US,33.0,Cabernet Sauvignon
US,140.0,Merlot
US,35.0,Syrah-Cabernet Sauvignon
US,75.0,Cabernet Sauvignon
US,40.0,Rhône-style Red Blend
US,21.0,Riesling
US,80.0,Red Blend
US,28.0,Cabernet Sauvignon
US,40.0,Chardonnay
US,40.0,Syrah
US,65.0,Chardonnay
US,,Syrah
US,28.0,Syrah
US,51.0,Chardonnay
US,30.0,Cabernet Sauvignon
US,45.0,Sauvignon Blanc
US,32.0,Red Blend
US,125.0,Chardonnay
US,150.0,Cabernet Sauvignon
US,60.0,Syrah
US,70.0,Pinot Noir
US,60.0,Pinot Noir
US,80.0,Sparkling Blend
US,32.0,Syrah
US,60.0,Pinot Noir
US,45.0,Chardonnay
US,60.0,Pinot Noir
US,80.0,Pinot Noir
US,85.0,Pinot Noir
US,39.0,Red Blend
US,25.0,Chardonnay
US,31.0,Rhône-style Red Blend
US,25.0,Sparkling Blend
US,18.0,Pinot Gris
US,25.0,Rosé
