País,Tipo
US,Cabernet Sauvignon
Spain,Tinta de Toro
US,Sauvignon Blanc
US,Pinot Noir
France,Provence red blend
Spain,Tinta de Toro
Spain,Tinta de Toro
Spain,Tinta de Toro
US,Pinot Noir
US,Pinot Noir
Italy,Friulano
US,Pinot Noir
US,Pinot Noir
France,Tannat
US,Pinot Noir
US,Chardonnay
US,Cabernet Sauvignon
Spain,Tempranillo
France,Malbec
US,Pinot Noir
US,Rosé
Spain,Tempranillo Blend
Spain,Tinta de Toro
US,Chardonnay
US,Pinot Noir
New Zealand,Chardonnay
US,Pinot Noir
US,Pinot Noir
US,Pinot Noir
US,Syrah
Bulgaria,Mavrud
US,Chardonnay
Italy,Sangiovese
France,Sparkling Blend
US,Chardonnay
Italy,Sangiovese
France,Rhône-style White Blend
Italy,Sangiovese
Italy,Sangiovese
Italy,Red Blend
Spain,Mencía
Spain,Palomino
US,Petite Sirah
Italy,Red Blend
France,Syrah
Italy,Red Blend
Italy,Sangiovese
US,Cabernet Sauvignon
Italy,Sangiovese
US,Cabernet Sauvignon
Italy,Sangiovese
France,Chardonnay
France,Sauvignon Blanc
France,Pinot Noir
US,Chardonnay
US,Cabernet Sauvignon
France,Sauvignon Blanc
US,Riesling
US,Cabernet Sauvignon-Syrah
Italy,Red Blend
Argentina,Malbec
Australia,Pinot Noir
Argentina,Malbec
France,Chardonnay
Portugal,Portuguese Red
US,Syrah
France,Chardonnay
US,Cabernet Sauvignon
US,Pinot Noir
US,Cabernet Sauvignon
US,Cabernet Sauvignon
US,Pinot Noir
Italy,Nebbiolo
US,Pinot Gris
Portugal,Portuguese Red
US,Pinot Noir
France,Chardonnay
US,Sauvignon Blanc
US,Cabernet Sauvignon
Italy,Nebbiolo
US,Pinot Noir
Israel,Cabernet Sauvignon
Italy,Nebbiolo
Italy,Nebbiolo
Italy,Nebbiolo
Italy,Nebbiolo
France,Chardonnay
US,Cabernet Sauvignon
US,Pinot Noir
US,Meritage
US,Cabernet Sauvignon
Portugal,Baga
Italy,Glera
US,Chardonnay
Portugal,Portuguese Red
France,Malbec-Merlot
US,Chardonnay
US,Cabernet Sauvignon
France,Merlot-Malbec
France,Ugni Blanc-Colombard
US,Viognier
US,Cabernet Sauvignon
Italy,Sangiovese
US,Cabernet Sauvignon-Cabernet Franc
US,Moscato
US,Pinot Grigio
US,Cabernet Franc
US,Chardonnay
US,White Blend
US,Chardonnay
Portugal,Portuguese Red
Argentina,Rosé
US,Cabernet Sauvignon
US,Riesling
South Africa,Sauvignon Blanc
Argentina,Malbec
Spain,Monastrell
France,Rosé
France,Gamay
Portugal,Portuguese Red
US,Pinot Noir
US,Pinot Noir
US,Sparkling Blend
US,Chardonnay
US,Pinot Noir
US,Pinot Noir
US,Zinfandel
US,Cabernet Sauvignon
Spain,Tempranillo
Italy,White Blend
Italy,Greco
US,Chardonnay
US,Barbera
US,Chardonnay
US,Cabernet Sauvignon
US,Grenache
US,Zinfandel
US,Rhône-style Red Blend
Spain,Tempranillo
France,Rosé
France,Rosé
US,Sauvignon Blanc
US,Grenache
US,Chardonnay
US,Albariño
US,Pinot Noir
US,Zinfandel
Spain,Albariño
US,Syrah
US,Malvasia Bianca
US,Pinot Noir
Greece,White Blend
Spain,Sparkling Blend
Greece,Assyrtiko
Greece,Malagouzia
Chile,Carmenère
France,Bordeaux-style Red Blend
US,Sangiovese
Spain,Tempranillo
Chile,Red Blend
US,Bordeaux-style Red Blend
US,Pinot Noir
Spain,Tempranillo Blend
US,Syrah
US,Viognier
US,Pinot Noir
Italy,Red Blend
Italy,Red Blend
Portugal,Touriga Nacional
US,Chardonnay
US,Pinot Noir
Chile,Cabernet Sauvignon-Cabernet Franc
Greece,Agiorgitiko
US,Pinot Noir
France,Rhône-style Red Blend
Spain,Tinta de Toro
Italy,Sangiovese
Italy,Red Blend
US,Cabernet Sauvignon
Chile,Red Blend
US,Chardonnay
US,Syrah
US,Pinot Noir
US,Picpoul
Argentina,Bordeaux-style Red Blend
US,Bordeaux-style Red Blend
US,Zinfandel
US,Zinfandel
Spain,Godello
Spain,Red Blend
Argentina,Malbec
France,Bordeaux-style Red Blend
France,Bordeaux-style Red Blend
France,Bordeaux-style Red Blend
France,Bordeaux-style Red Blend
France,Bordeaux-style Red Blend
US,Chardonnay
US,Malbec
US,Chardonnay
US,Riesling
US,Riesling
US,Cabernet Franc
France,Bordeaux-style Red Blend
France,Bordeaux-style Red Blend
US,Gewürztraminer
US,Merlot
US,Cabernet Sauvignon
US,Cabernet Franc
US,Grenache
Spain,Sparkling Blend
Portugal,Portuguese Red
Italy,Nebbiolo
US,Zinfandel
Italy,Nebbiolo
France,Riesling
France,Riesling
Morocco,Syrah-Grenache
Italy,Nebbiolo
France,Riesling
France,Riesling
US,G-S-M
US,Mourvèdre
France,Riesling
US,Zinfandel
Italy,Nebbiolo
France,Bordeaux-style White Blend
US,Syrah
US,Cabernet Sauvignon
US,Syrah
Portugal,Portuguese Red
US,Cabernet Sauvignon
US,Cabernet Sauvignon
US,Petit Verdot
US,Cabernet Sauvignon
Italy,Nebbiolo
France,Riesling
France,Riesling
France,Riesling
Portugal,Portuguese Red
Italy,Nebbiolo
France,Bordeaux-style Red Blend
France,Bordeaux-style White Blend
France,Bordeaux-style White Blend
France,Bordeaux-style Red Blend
France,Bordeaux-style White Blend
US,Chardonnay
US,Pinot Noir
Romania,Rosé
US,Chardonnay
US,Rhône-style White Blend
US,Merlot
Italy,Nebbiolo
US,Pinot Noir
US,Pinot Noir
US,Muscat
Italy,Nebbiolo
US,Sauvignon Blanc
US,Pinot Noir
Italy,Nebbiolo
Spain,Tempranillo
Spain,Tempranillo Blend
France,Chenin Blanc-Chardonnay
US,Cabernet Sauvignon-Merlot
US,Red Blend
Italy,Nebbiolo
France,Sauvignon Blanc
US,Pinot Grigio
US,Mourvèdre
US,Chardonnay
Argentina,Cabernet Sauvignon
France,Pinot Noir
France,Chardonnay
US,Chardonnay
US,Rhône-style Red Blend
US,Sparkling Blend
US,Pinot Noir
